hand1,hand2,board1,board2,board3,board4,board5,playerCount,position,potSize,Action
-,-,-,-,-,-,-,9,1,3249,B
-,-,-,-,-,-,-,9,2,881,B
-,-,-,-,-,-,-,9,3,625,c
-,-,-,-,-,-,-,9,4,381,c
-,-,-,-,-,-,-,9,5,258,f
-,-,-,-,-,-,-,9,6,44,f
-,-,-,-,-,-,-,9,7,3197,c
-,-,-,-,-,-,-,9,8,266,c
-,-,-,-,-,-,-,9,9,13318,f
-,-,-,-,-,-,-,9,1,3249,f
-,-,-,-,-,-,-,9,2,881,k
-,-,Ac,As,7c,-,-,9,1,1206,-
-,-,Ac,As,7c,-,-,9,2,327,k
-,-,Ac,As,7c,-,-,9,3,232,k
-,-,Ac,As,7c,-,-,9,4,141,k
-,-,Ac,As,7c,-,-,9,5,95,-
-,-,Ac,As,7c,-,-,9,6,16,-
-,-,Ac,As,7c,-,-,9,7,1187,k
-,-,Ac,As,7c,-,-,9,8,98,b
-,-,Ac,As,7c,-,-,9,9,4947,-
-,-,Ac,As,7c,-,-,9,2,327,f
-,-,Ac,As,7c,-,-,9,3,232,f
-,-,Ac,As,7c,-,-,9,4,141,c
-,-,Ac,As,7c,-,-,9,7,1187,f
-,-,Ac,As,7c,3h,-,9,1,1206,-
-,-,Ac,As,7c,3h,-,9,2,327,-
-,-,Ac,As,7c,3h,-,9,3,232,-
-,-,Ac,As,7c,3h,-,9,4,141,k
-,-,Ac,As,7c,3h,-,9,5,95,-
-,-,Ac,As,7c,3h,-,9,6,16,-
-,-,Ac,As,7c,3h,-,9,7,1187,-
-,-,Ac,As,7c,3h,-,9,8,98,k
-,-,Ac,As,7c,3h,-,9,9,4947,-
-,-,Ac,As,7c,3h,9d,9,1,621,-
-,-,Ac,As,7c,3h,9d,9,2,168,-
-,-,Ac,As,7c,3h,9d,9,3,119,-
-,-,Ac,As,7c,3h,9d,9,4,72,b
-,-,Ac,As,7c,3h,9d,9,5,49,-
-,-,Ac,As,7c,3h,9d,9,6,8,-
-,-,Ac,As,7c,3h,9d,9,7,611,-
-,-,Ac,As,7c,3h,9d,9,8,50,f
-,-,Ac,As,7c,3h,9d,9,9,2546,-
-,-,-,-,-,-,-,9,1,238,B
-,-,-,-,-,-,-,9,2,169,B
-,-,-,-,-,-,-,9,3,103,f
-,-,-,-,-,-,-,9,4,69,f
5c,6s,-,-,-,-,-,9,5,12,c
-,-,-,-,-,-,-,9,6,866,f
-,-,-,-,-,-,-,9,7,71,c
9d,5d,-,-,-,-,-,9,8,3607,r
-,-,-,-,-,-,-,9,9,879,f
-,-,-,-,-,-,-,9,1,238,c
-,-,-,-,-,-,-,9,2,169,f
5c,6s,-,-,-,-,-,9,5,12,c
-,-,-,-,-,-,-,9,7,71,c
-,-,7s,6d,3h,-,-,9,1,81,k
-,-,7s,6d,3h,-,-,9,2,58,-
-,-,7s,6d,3h,-,-,9,3,35,-
-,-,7s,6d,3h,-,-,9,4,23,-
5c,6s,7s,6d,3h,-,-,9,5,4,k
-,-,7s,6d,3h,-,-,9,6,296,-
-,-,7s,6d,3h,-,-,9,7,24,k
9d,5d,7s,6d,3h,-,-,9,8,1236,b
-,-,7s,6d,3h,-,-,9,9,301,-
-,-,7s,6d,3h,-,-,9,1,81,f
5c,6s,7s,6d,3h,-,-,9,5,4,c
-,-,7s,6d,3h,-,-,9,7,24,f
-,-,7s,6d,3h,Kc,-,9,1,81,-
-,-,7s,6d,3h,Kc,-,9,2,58,-
-,-,7s,6d,3h,Kc,-,9,3,35,-
-,-,7s,6d,3h,Kc,-,9,4,23,-
5c,6s,7s,6d,3h,Kc,-,9,5,4,k
