Play Prior,Bet Prior,Fold Prior,Has Pair Raise Prior,No Pair Raise Prior,Number Of Players,Position,Pot Size,Action,Has Pair
0.33333,0.28571,0.57143,0.00000,1.00000,10,1,10,B,0
0.50000,0.25000,0.50000,0.00000,0.00000,10,9,14,c,0
0.33333,0.25000,0.50000,0.00000,0.50000,10,1,10,c,0
0.50000,0.22222,0.44444,0.00000,0.00000,10,9,14,c,0
0.71429,0.37500,0.37500,0.00000,1.00000,9,1,299,B,0
0.71429,0.30000,0.20000,0.00000,0.00000,9,9,2513,c,0
0.71429,0.33333,0.33333,0.00000,0.50000,9,1,299,c,0
0.20000,0.18182,0.72727,0.00000,1.00000,9,1,224,B,0
0.30000,0.18182,0.63636,0.00000,1.00000,9,2,7479,B,0
0.70000,0.25000,0.33333,0.00000,0.33333,9,7,358,c,0
0.20000,0.16667,0.66667,0.00000,0.50000,9,1,224,c,0
0.30000,0.16667,0.58333,0.00000,0.50000,9,2,7479,k,0
1.00000,1.00000,0.00000,0.00000,1.00000,10,6,3847,r,0
0.63636,0.16667,0.33333,0.00000,0.00000,10,9,287,c,1
0.75000,0.75000,0.25000,1.00000,1.00000,10,3,4595,r,1
0.50000,0.17647,0.47059,0.00000,0.33333,10,8,2301,c,0
0.83333,0.85714,0.14286,1.00000,1.00000,10,1,3552,B,0
0.75000,0.11111,0.22222,0.00000,0.00000,10,4,376,c,0
0.83333,0.87500,0.12500,1.00000,1.00000,10,1,3552,r,0
0.75000,0.10526,0.21053,0.00000,0.00000,10,4,376,c,0
0.77778,0.13636,0.18182,0.00000,0.33333,10,2,1236,B,0
0.38889,0.16667,0.58333,0.00000,0.00000,10,6,1116,c,0
0.77778,0.13043,0.17391,0.00000,0.25000,10,2,1236,k,0
0.78947,0.16667,0.16667,0.00000,0.40000,10,1,688,B,0
0.77778,0.81818,0.18182,1.00000,1.00000,10,8,6736,r,1
0.78947,0.16000,0.16000,0.00000,0.33333,10,1,688,c,0
0.66667,0.71429,0.28571,1.00000,1.00000,10,5,6382,r,0
0.81818,0.14286,0.14286,0.00000,0.33333,10,8,652,c,1
0.47826,0.20000,0.53333,0.00000,0.00000,10,10,58,c,0
0.82609,0.13793,0.13793,0.00000,0.28571,10,7,1378,c,0
0.46429,0.20588,0.52941,0.00000,0.25000,10,10,408,c,0
0.75000,0.14706,0.20588,0.00000,0.37500,10,2,1760,B,0
0.75000,0.14286,0.20000,0.00000,0.33333,10,2,1760,k,0
0.75862,0.16667,0.19444,0.00000,0.40000,10,1,256,B,0
0.68421,0.66667,0.29167,1.00000,1.00000,10,8,2524,r,0
0.75862,0.16216,0.18919,0.00000,0.36364,10,1,256,c,0
0.66667,0.66667,0.30000,1.00000,1.00000,10,3,530,r,0
0.50000,0.15556,0.46667,0.00000,0.25000,10,8,257,c,0
0.66667,0.64516,0.29032,1.00000,0.85714,10,3,530,c,0
0.50000,0.15217,0.45652,0.00000,0.20000,10,8,257,c,0
0.68000,0.65625,0.28125,1.00000,0.87500,10,2,1772,B,0
0.42857,0.17778,0.57778,0.00000,0.00000,10,8,9,c,0
0.68000,0.66667,0.27273,1.00000,0.88889,10,2,1772,r,0
0.42857,0.17391,0.56522,0.00000,0.00000,10,8,9,c,0
0.69231,0.67647,0.26471,1.00000,0.90000,10,1,6042,B,0
0.47222,0.21739,0.52174,0.00000,0.00000,10,3,1132,c,0
0.69231,0.68571,0.25714,1.00000,0.90909,10,1,6042,r,0
0.47222,0.21277,0.51064,0.00000,0.00000,10,3,1132,c,0
0.35135,0.16327,0.59184,0.00000,0.00000,10,8,108,c,0
0.37838,0.19149,0.61702,0.00000,0.00000,10,9,2302,c,0
0.72500,0.17308,0.23077,0.33333,0.36364,10,10,123,r,1
0.42500,0.15686,0.56863,0.00000,0.00000,10,3,3,c,1
0.42500,0.15385,0.55769,0.00000,0.00000,10,3,3,c,1
0.48780,0.16364,0.47273,1.00000,0.20000,10,1,903,B,1
0.73171,0.16981,0.22642,0.33333,0.33333,10,9,198,c,0
0.48780,0.16071,0.46429,0.50000,0.20000,10,1,903,c,1
0.50000,0.21818,0.47273,0.00000,0.00000,10,7,2482,c,0
0.73810,0.16667,0.22222,0.33333,0.30769,10,8,1156,c,0
0.67568,0.67347,0.26531,1.00000,0.91667,10,10,1479,r,0
0.48936,0.14286,0.46032,0.50000,0.16667,10,5,752,c,0
0.48936,0.14063,0.45313,0.50000,0.14286,10,5,752,c,0
0.76000,0.16667,0.19697,0.33333,0.28571,10,10,236,c,0
0.71429,0.16667,0.16667,0.00000,0.00000,10,6,1467,c,0
0.71429,0.15385,0.15385,0.00000,0.00000,10,6,1467,c,0
0.33333,0.10526,0.63158,0.00000,0.00000,10,3,4,c,0
0.70732,0.69811,0.24528,1.00000,0.92308,10,6,290,r,0
0.33333,0.10000,0.60000,0.00000,0.00000,10,3,4,c,0
0.70732,0.70370,0.24074,1.00000,0.92857,10,6,290,r,0
0.33333,0.09524,0.57143,0.00000,0.00000,10,3,4,c,0
0.45455,0.21127,0.53521,0.00000,0.00000,10,4,364,c,0
0.53333,0.19048,0.38095,0.00000,0.00000,10,8,235,c,0
0.45455,0.20833,0.52778,0.00000,0.00000,10,4,364,c,0
0.53333,0.18182,0.36364,0.00000,0.00000,10,8,235,c,0
0.37500,0.22581,0.67742,1.00000,0.00000,10,10,1064,r,1
0.75862,0.15584,0.19481,0.50000,0.28571,10,2,519,B,1
0.75862,0.15385,0.19231,0.40000,0.28571,10,2,519,c,1
0.28333,0.16667,0.70833,0.00000,0.66667,10,1,135,B,0
0.46667,0.21519,0.50633,0.00000,0.00000,10,9,2073,c,0
0.28333,0.16438,0.69863,0.00000,0.50000,10,1,135,c,0
0.36000,0.12121,0.57576,0.00000,0.00000,10,3,79,c,1
0.77049,0.17073,0.18293,0.40000,0.33333,10,9,254,r,0
0.36000,0.11765,0.55882,0.00000,0.00000,10,3,79,c,1
0.38462,0.14286,0.54286,0.00000,0.25000,10,2,363,B,0
0.77419,0.16867,0.18072,0.33333,0.33333,10,8,946,c,1
0.38462,0.13889,0.52778,0.00000,0.20000,10,2,363,k,0
0.47619,0.21951,0.50000,0.00000,0.14286,9,5,958,r,0
0.77778,0.16667,0.17857,0.33333,0.31250,9,6,436,c,0
0.56522,0.18182,0.33333,0.00000,0.00000,9,9,621,c,0
0.78125,0.16471,0.17647,0.33333,0.29412,9,5,877,c,0
0.42857,0.15385,0.51282,0.00000,0.16667,9,9,336,c,0
0.78788,0.17045,0.17045,0.33333,0.33333,8,2,240,B,0
0.47826,0.17647,0.44118,0.00000,0.00000,8,7,1526,c,0
0.78788,0.17978,0.16854,0.33333,0.36842,8,2,240,r,0
0.47826,0.17143,0.42857,0.00000,0.00000,8,7,1526,c,0
0.79104,0.18889,0.16667,0.33333,0.40000,7,1,291,B,0
0.49254,0.16667,0.46667,0.50000,0.25000,7,2,1619,B,0
0.79104,0.18681,0.16484,0.33333,0.38095,7,1,291,c,0
0.49254,0.16484,0.46154,0.50000,0.22222,7,2,1619,c,0
0.57143,0.17949,0.33333,0.00000,0.25000,8,2,2302,B,0
0.79412,0.18478,0.16304,0.33333,0.36364,8,8,1589,c,0
0.57143,0.17500,0.32500,0.00000,0.20000,8,2,2302,k,0
0.50000,0.40000,0.60000,1.00000,0.00000,8,1,516,B,1
0.38889,0.17391,0.57971,0.00000,0.00000,8,3,517,c,0
0.35135,0.23913,0.69565,1.00000,0.00000,8,4,497,r,1
0.77465,0.17895,0.17895,0.33333,0.34783,8,5,226,c,0
0.45714,0.16667,0.50000,0.00000,0.14286,8,8,91,c,0
0.50000,0.33333,0.50000,0.50000,0.00000,8,1,516,c,1
0.38889,0.17143,0.57143,0.00000,0.00000,8,3,517,c,0
0.43590,0.15385,0.51923,0.00000,0.14286,8,4,318,c,1
0.46875,0.19149,0.46809,0.00000,0.00000,8,6,5129,c,0
0.43103,0.19737,0.52632,0.00000,0.00000,8,7,1825,c,0
0.55556,0.18367,0.36735,0.00000,0.33333,8,2,1792,B,0
0.45000,0.15094,0.50943,0.00000,0.12500,8,3,494,c,0
0.78947,0.18627,0.17647,0.33333,0.33333,8,8,1232,c,0
0.55556,0.18000,0.36000,0.00000,0.28571,8,2,1792,k,0
0.46341,0.16667,0.50000,0.00000,0.22222,8,2,495,B,0
0.79221,0.18447,0.17476,0.33333,0.32000,8,7,1231,c,0
0.48052,0.17308,0.48077,0.50000,0.20000,8,8,6833,c,0
0.46341,0.16364,0.49091,0.00000,0.20000,8,2,495,k,0
0.45455,0.23077,0.53846,0.50000,1.00000,8,2,3610,B,0
0.79487,0.18269,0.17308,0.33333,0.30769,8,6,1584,c,0
0.45455,0.21429,0.50000,0.50000,0.50000,8,2,3610,k,0
