@relation iswinning-final

@attribute 'Play Prior' numeric
@attribute 'Bet Prior' numeric
@attribute 'Fold Prior' numeric
@attribute 'Average Number Of Players' numeric
@attribute 'Beginning Chip Count Vs Table Average' numeric
@attribute 'Is Winning' {0,1}

@data
0.5,0.06,0.19,9.83,2.833,0
0.81818,0.04854,0.13592,9.805825,0.5977,1
0.3913,0.05941,0.21782,9.841584,0.5377,0
0.47826,0.05882,0.21569,9.843137,0.0257,0
0.30435,0.04902,0.20588,9.843137,0.0664,1
0.3913,0.04902,0.21569,9.843137,1.2424,1
0.41667,0.0495,0.16832,9.821782,0.1385,0
0.33333,0.04902,0.22549,9.823529,1.0459,1
0.16667,0.03922,0.22549,9.813725,0.086,0
0.68182,0.20588,0.11765,10,4.6854,0
0.68182,0.0495,0.12871,10,0.4306,0
0.45455,0.04808,0.20192,10,0.0418,0
0.47826,0.03883,0.19417,10,2.2171,1
0.59091,0.08,0.17,10,0.9056,1
0.33333,0.03922,0.23529,10,0.0588,0
0.72727,0.23529,0.14706,10,3.8483,0
0.34783,0.05941,0.22772,10,0.7873,0
0.36364,0.05,0.21,10,0.1189,1
0.54545,0.05769,0.18269,10,0.5132,1
0.47619,0.05941,0.17822,9.90099,2.2497,0
0.33333,0.04762,0.20952,9.904762,0.9573,1
0.85714,0.0495,0.12871,9.861386,0.3562,0
0.52174,0.06731,0.19231,9.567308,1.9709,1
0.54545,0.06,0.14,8.55,0.1543,1
0.33333,0.07921,0.19802,8.574257,0.838,0
0.45455,0.07921,0.15842,7.633663,2.5719,1
0.63636,0.09,0.16,7.65,0.9159,1
0.81818,0.06796,0.1165,7.436893,0.3885,0
0.43478,0.06863,0.17647,7.794118,0.9276,0
0.47826,0.06796,0.15534,7.417476,0.1409,0
0.47826,0.05882,0.15686,7.470588,0.2077,1
0.3913,0.07843,0.20588,7.5,1.1227,1
0.65217,0.06731,0.15385,8.038462,3.4505,1
0.56522,0.07767,0.18447,8,1.2185,0
0.68182,0.08,0.13,8.11,0.5289,1
0.45455,0.06,0.19,8.39,0.0286,0
0.30435,0.06,0.22,8.31,1.2619,0
0.56522,0.07692,0.15385,8.307692,0.1027,0
0.7619,0.07,0.15,8.11,0.1365,0
0.43478,0.07843,0.18627,7.980392,1.2886,1
0.63636,0.08738,0.17476,7.883495,1.2497,0
0.43478,0.0495,0.21782,7.980198,3.5588,0
0.45455,0.07547,0.16981,8.235849,0.0719,1
0.40909,0.08824,0.18627,8.264706,1.1867,1
0.77273,0.09804,0.14706,8.264706,0.0831,0
0.59091,0.07767,0.17476,8.300971,0.1381,1
0.26087,0.05825,0.21359,8.097087,1.0433,0
0.63636,0.06,0.13,7.94,1.984,0
0.72727,0.08824,0.15686,7.882353,2.7126,1
0.47826,0.06796,0.20388,7.951456,0.9519,1
0.26087,0.05882,0.21569,7.303922,0.8923,0
0.5,0.07,0.2,6.37,0.8604,0
0.81818,0.12871,0.14851,5.475248,2.1758,1
1,0.22,0.12,2,1.4041,0
1,0.27184,0.06796,2,0.5959,1
1,0.22549,0.11765,2,1.4038,0
1,0.27,0.07,2,0.5962,1
1,0.2233,0.09709,2,1.4039,1
1,0.27184,0.07767,2,0.5961,0
1,0.25,0.07,2,1.4041,1
1,0.24272,0.12621,2,0.596,0
1,0.28,0.07,2,1.4039,0
1,0.23077,0.09615,2,0.5961,1
1,0.24,0.1,2,1.4039,1
1,0.26,0.08,2,0.5961,0
1,0.25243,0.09709,2,1.4039,1
1,0.25,0.09615,2,0.5961,1
1,0.26733,0.08911,2,1.404,1
1,0.25,0.08654,2,0.596,0
1,0.24,0.11,2,1.404,0
1,0.2549,0.07843,2,0.5961,1
1,0.23762,0.06931,2,1.404,1
1,0.23,0.13,2,0.596,0
1,0.25,0.11,2,0.596,1
1,0.29412,0.07843,2,1.4041,0
1,0.24038,0.08654,2,0.5958,0
1,0.30693,0.06931,2,1.4042,1
0.9,0.19,0.12,3.19,0.8612,0
0.80952,0.22,0.1,3.35,2.1369,0
0.77273,0.16832,0.08911,3.584158,0.0184,1
0.63636,0.1165,0.20388,3.582524,0.3767,0
0.77273,0.17143,0.13333,3.171429,1.9606,0
0.81818,0.18447,0.1068,3,0.0391,0
0.85714,0.14706,0.14706,3,0.6262,1
0.85714,0.17476,0.1165,3,2.3349,1
0.85714,0.17822,0.08911,3,0.0374,0
0.80952,0.20792,0.11881,3,0.628,1
0.80952,0.17,0.12,3,2.3348,0
0.95238,0.15842,0.06931,3,0.0378,1
0.80952,0.15385,0.15385,3,0.6277,0
0.95238,0.20388,0.07767,3,2.3328,0
1,0.14706,0.10784,3,0.0395,1
0.77273,0.18812,0.11881,3,0.626,0
0.77273,0.18447,0.09709,3,2.3387,1
0.85,0.16832,0.12871,3,0.0359,0
0.72727,0.14563,0.16505,3.174757,1.5681,0
0.63636,0.14706,0.13725,3.205882,0.9055,1
0.77273,0.17476,0.1165,3.126214,0.0865,1
0.68182,0.16346,0.15385,3,1.8803,0
0.90909,0.18447,0.04854,2.718447,0.0917,1
1,0.25962,0.09615,2.048077,1.9069,0
1,0.20792,0.05941,2,0.092,0
1,0.20388,0.13592,2,1.908,0
1,0.21782,0.0495,2,0.0908,0
1,0.22115,0.09615,2,1.9094,1
1,0.19417,0.08738,2,0.0869,0
1,0.23529,0.08824,2,1.9135,1
1,0.21569,0.03922,2,0.0831,0
1,0.22772,0.14851,2,1.9174,1
0.65217,0.125,0.14423,5.432692,0.7808,0
0.90476,0.22772,0.06931,2.287129,0.0803,1
0.85,0.2,0.14,3.18,0.7427,0
0.80952,0.16667,0.12745,3.5,1.3833,0
0.7619,0.12871,0.15842,3.693069,1.2746,0
0.72727,0.11,0.16,4,1.2633,0
0.59091,0.11881,0.17822,4.366337,1.1987,1
0.73913,0.1165,0.1165,4.339806,0.6403,1
0.57143,0.1,0.16,4.44,1.1698,0
0.59091,0.08824,0.17647,5.176471,1.2144,1
0.72727,0.11,0.14,5.26,0.1126,0
0.63636,0.08911,0.14851,5.594059,0.4864,0
0.52174,0.08911,0.18812,5.663366,0.875,1
0.47826,0.1068,0.17476,5.699029,0.827,1
0.52174,0.1068,0.16505,6,3.2868,1
0.59091,0.09901,0.17822,6,0.7917,1
0.77273,0.08571,0.1619,6,0.0715,0
0.63636,0.09901,0.16832,6,0.396,0
0.43478,0.10891,0.17822,6,0.7449,1
0.59091,0.08824,0.19608,6,0.707,0
0.47826,0.09901,0.17822,6.306931,3.3278,1
0.65217,0.10784,0.14706,6.470588,0.7088,0
0.69565,0.05882,0.15686,6.509804,0.0728,0
0.43478,0.07767,0.19417,6.165049,0.7809,0
0.68182,0.10784,0.11765,6.313725,0.6627,0
0.59091,0.14,0.17,4.6,2.4085,1
1,0.21569,0.09804,2.127451,0.7584,1
1,0.22,0.08,2,0.0505,0
1,0.22549,0.10784,2,1.9648,1
1,0.2451,0.02941,2,0.0382,0
1,0.21782,0.06931,2,1.9759,1
1,0.24,0.05,2,0.025,0
1,0.21569,0.07843,2,1.9721,0
1,0.2233,0.04854,2,0.0257,0
1,0.21782,0.06931,2,1.9725,1
1,0.22,0.03,2,0.0324,1
1,0.21359,0.09709,2,1.979,1
1,0.23762,0.05941,2,0.0216,0
1,0.20388,0.1068,2,1.974,0
1,0.21782,0.05941,2,0.0288,1
1,0.2233,0.08738,2,1.9833,1
1,0.24272,0.07767,2,0.0164,0
1,0.24752,0.0396,2,1.9644,0
1,0.21782,0.08911,2,0.0352,1
1,0.21905,0.09524,2,1.9678,1
1,0.23301,0.04854,2,0.0317,0
1,0.24272,0.05825,2,1.9704,1
1,0.23301,0.07767,2,0.0286,0
1,0.19802,0.07921,2,1.9715,1
1,0.27451,0.05882,2,0.0301,1
1,0.20192,0.11538,2,1.9693,0
1,0.26214,0.03883,2,0.0311,1
1,0.23301,0.06796,2,1.9555,0
1,0.24038,0.05769,2,0.045,1
1,0.21782,0.05941,2,1.9592,1
1,0.25743,0.0495,2,0.042,0
1,0.21782,0.08911,2,1.9606,1
1,0.27,0.04,2,0.0423,1
1,0.20388,0.1068,2,1.9591,0
1,0.3,0.04,2,0.0428,1
1,0.19417,0.13592,2,1.968,1
1,0.26214,0.04854,2,0.0416,0
1,0.24,0.11,2,1.9574,0
1,0.2549,0.05882,2,0.039,0
1,0.20792,0.09901,2,1.961,1
0.6087,0.09709,0.15534,8.68932,0.8825,1
0.95238,0.19417,0.09709,2.592233,1.9156,0
0.90476,0.21569,0.09804,2.715686,0.0417,0
0.90476,0.22,0.09,3,1.5124,1
0.85714,0.17647,0.15686,2.941176,1.4822,0
0.95,0.15385,0.14423,3,0.027,0
0.81818,0.18269,0.09615,3.538462,1.7498,1
0.80952,0.16667,0.14706,3.637255,1.7169,0
0.77273,0.14563,0.15534,3.708738,0.0444,1
0.63636,0.12,0.16,4,0.0341,0
0.7619,0.14,0.14,4,1.8931,0
0.86364,0.20588,0.08824,4,2.0265,1
0.72727,0.14286,0.17143,3.847619,0.0484,0
0.66667,0.12,0.15,3.62,0.0391,0
0.7619,0.16832,0.10891,3.039604,2.781,0
0.95,0.14706,0.12745,3,0.108,1
0.86364,0.18447,0.06796,3,0.0519,1
0.72727,0.15385,0.15385,3,2.8379,0
0.85714,0.18627,0.12745,3,0.109,1
0.86364,0.15385,0.10577,3,0.0549,1
0.95238,0.15534,0.1165,3,2.8375,1
0.80952,0.14706,0.14706,3,0.1091,0
0.85714,0.16505,0.1165,3,0.0506,0
0.86364,0.16346,0.13462,3.086538,1.9691,1
0.90476,0.14563,0.08738,3.145631,0.0634,1
0.77273,0.24272,0.1165,5.320388,3.4216,1
0.84211,0.13,0.13,3.27,0.0167,1
0.85714,0.14851,0.12871,3.29703,0.3803,1
0.80952,0.24752,0.10891,3,2.6259,0
0.85,0.16832,0.11881,3,0.0219,1
0.68182,0.15686,0.14706,3,0.3522,1
0.86364,0.29703,0.06931,3,2.6261,1
0.85,0.12745,0.13725,3,0.0216,0
0.80952,0.13861,0.13861,3,0.3519,0
0.43478,0.07921,0.16832,6.247525,0.7996,1
0.85714,0.26,0.09,3.13,2.6769,1
0.78947,0.12621,0.1165,3.291262,0.0225,1
0.63636,0.13,0.19,3.78,0.3872,0
0.72727,0.18812,0.07921,4.128713,0.666,1
0.66667,0.08824,0.15686,5.676471,0.116,1
0.57143,0.11,0.18,4.97,0.5549,0
0.68182,0.22772,0.12871,5.029703,3.3865,0
0.61905,0.17476,0.12621,5.475728,0.4528,1
0.56522,0.08738,0.20388,5.466019,0.4599,1
0.5,0.07767,0.17476,5.854369,1.1433,1
0.59091,0.08911,0.16832,5.772277,0.6407,1
0.72727,0.10784,0.16667,4.911765,0.6623,0
0.72727,0.11765,0.10784,4.401961,0.3631,0
0.63636,0.13,0.14,4,1.8234,1
0.73913,0.14423,0.17308,4,0.9931,0
0.59091,0.09709,0.18447,4.38835,0.422,0
0.63636,0.11,0.14,4.96,0.1564,1
0.73913,0.09709,0.15534,5.990291,0.6481,1
0.59091,0.08,0.19,6.55,4.806,0
0.7619,0.14851,0.09901,6.881188,0.2519,0
0.47826,0.08738,0.20388,6.330097,0.3402,1
0.42857,0.06,0.2,7.09,0.2905,0
0.63636,0.11,0.12,7.02,0.1364,1
0.6087,0.07843,0.17647,7.039216,0.1777,1
0.3913,0.0396,0.18812,9.227723,0.0284,1
0.54545,0.06863,0.16667,6.764706,0.6355,0
0.59091,0.09901,0.16832,6.683168,5.0447,1
0.47826,0.09,0.19,6.69,0.3462,1
0.54545,0.08911,0.17822,6.782178,0.284,1
0.43478,0.07767,0.19417,6.543689,0.1707,1
0.52174,0.07767,0.16505,6.116505,0.5808,0
0.6087,0.08824,0.14706,5.95098,4.5241,1
0.3913,0.08738,0.18447,5.84466,0.3051,0
0.5,0.08911,0.17822,6.346535,0.0178,1
0.63636,0.11,0.17,5.34,0.2551,1
0.72727,0.07692,0.14423,5.048077,0.8389,0
0.6087,0.10784,0.17647,5.04902,0.5106,1
0.68182,0.05882,0.17647,5.862745,0.114,0
0.54545,0.08,0.16,5.24,0.021,0
0.65217,0.09615,0.16346,5.25,0.4099,0
0.59091,0.13725,0.17647,5.254902,3.5465,0
0.6087,0.08654,0.13462,5.355769,0.8023,0
0.43478,0.08911,0.19802,5.39604,0.4452,0
0.54545,0.08,0.14,5.22,0.0184,1
