Play Prior,Bet Prior,Fold Prior,Average Number Of Players,Beginning Chip Count Vs Table Average,Is Winning
0.50000,0.06000,0.19000,9.83,2.8330,0
0.81818,0.04854,0.13592,9.805825242718447,0.5977,1
0.39130,0.05941,0.21782,9.841584158415841,0.5377,0
0.47826,0.05882,0.21569,9.843137254901961,0.0257,0
0.30435,0.04902,0.20588,9.843137254901961,0.0664,1
0.39130,0.04902,0.21569,9.843137254901961,1.2424,1
0.41667,0.04950,0.16832,9.821782178217822,0.1385,0
0.33333,0.04902,0.22549,9.823529411764707,1.0459,1
0.16667,0.03922,0.22549,9.813725490196079,0.0860,0
0.68182,0.20588,0.11765,10.0,4.6854,0
0.68182,0.04950,0.12871,10.0,0.4306,0
0.45455,0.04808,0.20192,10.0,0.0418,0
0.47826,0.03883,0.19417,10.0,2.2171,1
0.59091,0.08000,0.17000,10.0,0.9056,1
0.33333,0.03922,0.23529,10.0,0.0588,0
0.72727,0.23529,0.14706,10.0,3.8483,0
0.34783,0.05941,0.22772,10.0,0.7873,0
0.36364,0.05000,0.21000,10.0,0.1189,1
0.54545,0.05769,0.18269,10.0,0.5132,1
0.47619,0.05941,0.17822,9.900990099009901,2.2497,0
0.33333,0.04762,0.20952,9.904761904761905,0.9573,1
0.85714,0.04950,0.12871,9.861386138613861,0.3562,0
0.52174,0.06731,0.19231,9.567307692307692,1.9709,1
0.54545,0.06000,0.14000,8.55,0.1543,1
0.33333,0.07921,0.19802,8.574257425742575,0.8380,0
0.45455,0.07921,0.15842,7.633663366336633,2.5719,1
0.63636,0.09000,0.16000,7.65,0.9159,1
0.81818,0.06796,0.11650,7.436893203883495,0.3885,0
0.43478,0.06863,0.17647,7.794117647058823,0.9276,0
0.47826,0.06796,0.15534,7.41747572815534,0.1409,0
0.47826,0.05882,0.15686,7.470588235294118,0.2077,1
0.39130,0.07843,0.20588,7.5,1.1227,1
0.65217,0.06731,0.15385,8.038461538461538,3.4505,1
0.56522,0.07767,0.18447,8.0,1.2185,0
0.68182,0.08000,0.13000,8.11,0.5289,1
0.45455,0.06000,0.19000,8.39,0.0286,0
0.30435,0.06000,0.22000,8.31,1.2619,0
0.56522,0.07692,0.15385,8.307692307692308,0.1027,0
0.76190,0.07000,0.15000,8.11,0.1365,0
0.43478,0.07843,0.18627,7.980392156862745,1.2886,1
0.63636,0.08738,0.17476,7.883495145631068,1.2497,0
0.43478,0.04950,0.21782,7.98019801980198,3.5588,0
0.45455,0.07547,0.16981,8.235849056603774,0.0719,1
0.40909,0.08824,0.18627,8.264705882352942,1.1867,1
0.77273,0.09804,0.14706,8.264705882352942,0.0831,0
0.59091,0.07767,0.17476,8.300970873786408,0.1381,1
0.26087,0.05825,0.21359,8.097087378640778,1.0433,0
0.63636,0.06000,0.13000,7.94,1.9840,0
0.72727,0.08824,0.15686,7.882352941176471,2.7126,1
0.47826,0.06796,0.20388,7.951456310679611,0.9519,1
0.26087,0.05882,0.21569,7.303921568627451,0.8923,0
0.50000,0.07000,0.20000,6.37,0.8604,0
0.81818,0.12871,0.14851,5.475247524752476,2.1758,1
1.00000,0.22000,0.12000,2.0,1.4041,0
1.00000,0.27184,0.06796,2.0,0.5959,1
1.00000,0.22549,0.11765,2.0,1.4038,0
1.00000,0.27000,0.07000,2.0,0.5962,1
1.00000,0.22330,0.09709,2.0,1.4039,1
1.00000,0.27184,0.07767,2.0,0.5961,0
1.00000,0.25000,0.07000,2.0,1.4041,1
1.00000,0.24272,0.12621,2.0,0.5960,0
1.00000,0.28000,0.07000,2.0,1.4039,0
1.00000,0.23077,0.09615,2.0,0.5961,1
1.00000,0.24000,0.10000,2.0,1.4039,1
1.00000,0.26000,0.08000,2.0,0.5961,0
1.00000,0.25243,0.09709,2.0,1.4039,1
1.00000,0.25000,0.09615,2.0,0.5961,1
1.00000,0.26733,0.08911,2.0,1.4040,1
1.00000,0.25000,0.08654,2.0,0.5960,0
1.00000,0.24000,0.11000,2.0,1.4040,0
1.00000,0.25490,0.07843,2.0,0.5961,1
1.00000,0.23762,0.06931,2.0,1.4040,1
1.00000,0.23000,0.13000,2.0,0.5960,0
1.00000,0.25000,0.11000,2.0,0.5960,1
1.00000,0.29412,0.07843,2.0,1.4041,0
1.00000,0.24038,0.08654,2.0,0.5958,0
1.00000,0.30693,0.06931,2.0,1.4042,1
0.90000,0.19000,0.12000,3.19,0.8612,0
0.80952,0.22000,0.10000,3.35,2.1369,0
0.77273,0.16832,0.08911,3.5841584158415842,0.0184,1
0.63636,0.11650,0.20388,3.5825242718446604,0.3767,0
0.77273,0.17143,0.13333,3.1714285714285713,1.9606,0
0.81818,0.18447,0.10680,3.0,0.0391,0
0.85714,0.14706,0.14706,3.0,0.6262,1
0.85714,0.17476,0.11650,3.0,2.3349,1
0.85714,0.17822,0.08911,3.0,0.0374,0
0.80952,0.20792,0.11881,3.0,0.6280,1
0.80952,0.17000,0.12000,3.0,2.3348,0
0.95238,0.15842,0.06931,3.0,0.0378,1
0.80952,0.15385,0.15385,3.0,0.6277,0
0.95238,0.20388,0.07767,3.0,2.3328,0
1.00000,0.14706,0.10784,3.0,0.0395,1
0.77273,0.18812,0.11881,3.0,0.6260,0
0.77273,0.18447,0.09709,3.0,2.3387,1
0.85000,0.16832,0.12871,3.0,0.0359,0
0.72727,0.14563,0.16505,3.174757281553398,1.5681,0
0.63636,0.14706,0.13725,3.2058823529411766,0.9055,1
0.77273,0.17476,0.11650,3.1262135922330097,0.0865,1
0.68182,0.16346,0.15385,3.0,1.8803,0
0.90909,0.18447,0.04854,2.7184466019417477,0.0917,1
1.00000,0.25962,0.09615,2.048076923076923,1.9069,0
1.00000,0.20792,0.05941,2.0,0.0920,0
1.00000,0.20388,0.13592,2.0,1.9080,0
1.00000,0.21782,0.04950,2.0,0.0908,0
1.00000,0.22115,0.09615,2.0,1.9094,1
1.00000,0.19417,0.08738,2.0,0.0869,0
1.00000,0.23529,0.08824,2.0,1.9135,1
1.00000,0.21569,0.03922,2.0,0.0831,0
1.00000,0.22772,0.14851,2.0,1.9174,1
0.65217,0.12500,0.14423,5.4326923076923075,0.7808,0
0.90476,0.22772,0.06931,2.287128712871287,0.0803,1
0.85000,0.20000,0.14000,3.18,0.7427,0
0.80952,0.16667,0.12745,3.5,1.3833,0
0.76190,0.12871,0.15842,3.6930693069306932,1.2746,0
0.72727,0.11000,0.16000,4.0,1.2633,0
0.59091,0.11881,0.17822,4.366336633663367,1.1987,1
0.73913,0.11650,0.11650,4.339805825242719,0.6403,1
0.57143,0.10000,0.16000,4.44,1.1698,0
0.59091,0.08824,0.17647,5.176470588235294,1.2144,1
0.72727,0.11000,0.14000,5.26,0.1126,0
0.63636,0.08911,0.14851,5.594059405940594,0.4864,0
0.52174,0.08911,0.18812,5.663366336633663,0.8750,1
0.47826,0.10680,0.17476,5.699029126213592,0.8270,1
0.52174,0.10680,0.16505,6.0,3.2868,1
0.59091,0.09901,0.17822,6.0,0.7917,1
0.77273,0.08571,0.16190,6.0,0.0715,0
0.63636,0.09901,0.16832,6.0,0.3960,0
0.43478,0.10891,0.17822,6.0,0.7449,1
0.59091,0.08824,0.19608,6.0,0.7070,0
0.47826,0.09901,0.17822,6.306930693069307,3.3278,1
0.65217,0.10784,0.14706,6.470588235294118,0.7088,0
0.69565,0.05882,0.15686,6.509803921568627,0.0728,0
0.43478,0.07767,0.19417,6.165048543689321,0.7809,0
0.68182,0.10784,0.11765,6.313725490196078,0.6627,0
0.59091,0.14000,0.17000,4.6,2.4085,1
1.00000,0.21569,0.09804,2.127450980392157,0.7584,1
1.00000,0.22000,0.08000,2.0,0.0505,0
1.00000,0.22549,0.10784,2.0,1.9648,1
1.00000,0.24510,0.02941,2.0,0.0382,0
1.00000,0.21782,0.06931,2.0,1.9759,1
1.00000,0.24000,0.05000,2.0,0.0250,0
1.00000,0.21569,0.07843,2.0,1.9721,0
1.00000,0.22330,0.04854,2.0,0.0257,0
1.00000,0.21782,0.06931,2.0,1.9725,1
1.00000,0.22000,0.03000,2.0,0.0324,1
1.00000,0.21359,0.09709,2.0,1.9790,1
1.00000,0.23762,0.05941,2.0,0.0216,0
1.00000,0.20388,0.10680,2.0,1.9740,0
1.00000,0.21782,0.05941,2.0,0.0288,1
1.00000,0.22330,0.08738,2.0,1.9833,1
1.00000,0.24272,0.07767,2.0,0.0164,0
1.00000,0.24752,0.03960,2.0,1.9644,0
1.00000,0.21782,0.08911,2.0,0.0352,1
1.00000,0.21905,0.09524,2.0,1.9678,1
