hand1,hand2,table1,table2,table3,table4,table5,numPlayers,position,playerChips,action,rank
Qs,7s,Qh,Th,Tc,8s,5s,3,2,95,k,744386
Ah,2h,Qh,Th,Tc,8s,5s,3,3,3,k,391033
4c,Ks,5c,8d,6c,Kh,3d,3,1,0,b,396529
Jh,Kc,5c,8d,6c,Kh,3d,3,2,34,c,397063
4c,Ks,5c,8d,6c,Kh,3d,3,1,0,A,396529
Tc,Jh,9d,Kc,8c,9c,Qc,5,1,14,b,2194055
Ks,Qd,9d,Kc,8c,9c,Qc,5,2,63,c,744582
6c,5c,5s,9c,8s,6d,4d,5,4,12,k,743308
8c,5h,5s,9c,8s,6d,4d,5,5,7,k,743646
Qh,Qc,5d,4s,Ts,5s,7d,4,1,11,k,744323
Tc,Kh,5d,4s,Ts,5s,7d,4,3,4,k,743988
Kh,Qh,4s,Kc,9s,8d,7d,5,2,4,k,397247
Ah,Th,4s,Kc,9s,8d,7d,5,3,7,b,368348
Kh,Qh,4s,Kc,9s,8d,7d,5,2,4,c,397247
3c,2c,5d,9c,Tc,9s,9h,5,4,117,k,1115169
Ks,Ac,5d,9c,Tc,9s,9h,5,5,12,k,1115229
Kh,Qd,5c,9d,Jd,Tc,8s,6,2,16,b,1485183
8d,Js,5c,9d,Jd,Tc,8s,6,4,4,c,744193
Js,9s,4s,6d,7d,Qh,Qs,6,1,68,k,394880
8s,7s,4s,6d,7d,Qh,Qs,6,4,180,k,744347
Jh,Kh,4s,6d,7d,Qh,Qs,6,6,31,k,395244
3h,2d,7c,Ah,9h,3s,Th,7,2,37,b,375629
Ad,As,7c,Ah,9h,3s,Th,7,3,61,c,1116018
Ks,Jc,6s,9c,Tc,8h,4h,8,4,27,b,335393
Jh,Th,6s,9c,Tc,8h,4h,8,5,46,c,390487
Qh,7c,Qs,3h,Qd,3d,Th,8,1,127,b,2227889
Kd,3c,Qs,3h,Qd,3d,Th,8,2,98,c,2227781
6d,Jh,9d,Js,5d,9h,3d,7,1,244,k,744202
2h,As,9d,Js,5d,9h,3d,7,2,573,k,388820
6s,Ad,9d,Js,5d,9h,3d,7,5,212,k,388821
Tc,Qs,8c,8h,Js,Ks,Kd,7,1,572,k,744533
9h,4s,8c,8h,Js,Ks,Kd,7,2,868,k,744532
9s,6c,8c,8h,Js,Ks,Kd,7,6,244,k,744532
6s,Qc,6d,8h,Kc,3c,9d,8,2,98,k,382077
5h,5d,6d,8h,Kc,3c,9d,8,4,62,k,379840
8c,9h,6c,Kd,Ts,Qc,Td,8,2,13,k,390865
9c,Kc,6c,Kd,Ts,Qc,Td,8,4,10,k,744559
Tc,Js,5d,2c,3d,3h,7s,8,1,1,b,375120
Jh,Jc,5d,2c,3d,3h,7s,8,3,1,c,744125
Ac,Ts,Qh,2c,Ad,4s,Jd,8,3,4,k,399472
As,5s,Qh,2c,Ad,4s,Jd,8,8,21,k,399467
Tc,2c,Ts,2s,5s,Jd,7s,8,1,34,k,743947
Th,Jh,Ts,2s,5s,Jd,7s,8,4,11,k,744216
Kh,9c,Kc,Qc,8h,7c,3d,8,2,25,k,397247
Qd,Jc,Kc,Qc,8h,7c,3d,8,7,12,b,395245
Kh,9c,Kc,Qc,8h,7c,3d,8,2,25,c,397247
Qc,Th,9h,5s,7d,2d,3h,7,2,130,k,304437
As,6d,9h,5s,7d,2d,3h,7,7,123,k,359011
Td,9s,9d,Th,8h,5h,6d,7,1,10,k,744035
Ah,Ts,9d,Th,8h,5h,6d,7,5,5,k,390994
3d,2d,Jc,Kc,Jd,9d,Qd,8,2,2,b,2163044
Th,Kd,Jc,Kc,Jd,9d,Qd,8,8,6,r,1485183
3d,2d,Jc,Kc,Jd,9d,Qd,8,2,2,c,2163044
8s,8h,5c,Jd,6h,3c,7c,9,6,4,k,386065
4s,5d,5c,Jd,6h,3c,7c,9,8,1,b,1485177
8s,8h,5c,Jd,6h,3c,7c,9,6,4,c,386065
6h,6c,7d,4c,8h,8c,Th,6,1,4,k,743660
